survey_id,member_id,survey_date,awareness_level,satisfaction_score,trust_level,comments
1,67,2024-12-22,Low,10,Medium,Take director term help spend civil trip.
2,104,2024-05-08,Low,5,Medium,Push magazine part social development manage when employee PM nearly garden student.
3,118,2024-08-01,Medium,7,High,Ahead affect really community remain bit word machine floor.
4,68,2024-10-18,High,3,Low,Wrong this if sign energy factor poor among down talk view.
5,130,2024-10-24,High,8,Low,Choose garden more toward citizen at.
6,68,2024-07-08,High,3,Low,Dog chance play say different through office network common society note prevent.
7,117,2024-05-03,Medium,4,High,Energy catch fear region institution blood under specific production performance organization.
8,145,2024-06-02,Medium,4,Medium,Computer worry career purpose husband game half character their.
9,119,2024-07-17,Medium,7,Low,Evidence by knowledge rate old decision bad modern real mother upon however career.
10,68,2025-02-18,High,6,High,Exist scene operation report list evidence recent myself ready chair candidate happen feel.
11,177,2024-05-09,High,6,Medium,Practice popular without little senior garden analysis.
12,17,2024-06-02,High,1,Medium,Activity city tough song home reflect so.
13,18,2024-07-16,Low,7,Medium,Along admit professional ask summer stand as.
14,82,2025-02-27,Low,4,High,From wear rich but growth agent watch scientist particular common performance identify.
15,18,2024-12-29,High,8,Low,Individual everybody reality resource entire enough south one ask.
16,64,2024-07-20,High,6,Low,Fact magazine soon too bed hotel writer act let side here quickly.
17,21,2025-02-13,Low,6,High,Fine staff everything spend school than mention various exactly.
18,102,2024-07-01,Low,1,Medium,World network sister center country series focus third land system.
19,46,2024-05-01,High,5,High,Send final candidate ok wide maintain east.
20,135,2024-06-26,Low,7,Medium,One never money eat way surface method knowledge success.
21,185,2025-02-06,Medium,10,Low,Watch growth large myself economic several executive.
22,104,2024-08-18,Low,9,Low,Determine media their firm along involve management visit sell board.
23,100,2024-06-13,High,1,High,Rock staff drug language lawyer worker drop impact.
24,167,2024-11-09,Low,6,Medium,Fear early the maybe while exist including.
25,75,2024-07-20,High,6,High,Conference thank likely too participant heavy doctor across news toward respond including deep.
26,141,2025-03-09,Low,2,Medium,Later write into central none person page beautiful report water.
27,98,2024-08-29,High,10,High,Including collection they perform successful write clear determine mouth only economy.
28,168,2025-01-06,Medium,1,High,Trial little because group recognize style.
29,49,2025-04-23,Low,5,Low,Congress all condition myself we girl commercial avoid win record.
30,29,2025-01-29,Medium,7,High,Leader senior these several strategy choice about vote official country.
31,34,2025-03-01,Low,1,High,Return too language value watch memory left its.
32,122,2024-06-22,Medium,6,High,Whom raise door police once determine ball heavy stage.
33,153,2025-01-17,Low,2,Low,Small ago husband street affect collection.
34,62,2024-07-28,High,9,High,Wear parent study enjoy this front night.
35,5,2024-12-18,Medium,8,High,Part music local time time environmental because.
36,82,2024-09-25,Low,8,High,Number born range hard marriage direction over lay put threat together with if.
37,103,2025-01-07,Medium,7,Low,Case on guess nothing which size model matter rest campaign.
38,191,2024-07-06,Medium,6,Medium,Type all lead election project far try mind couple.
39,157,2025-03-26,High,4,High,Strategy hear use back decide short court tax tonight middle firm for.
40,96,2024-10-09,High,3,Medium,Town edge bit past office store blood through still cut role soldier plan.
41,139,2024-11-16,Low,10,High,Who go common class me wife tend movie.
42,90,2025-02-06,High,9,High,Suffer case type shake color college maintain million wear.
43,198,2024-09-07,Low,5,High,Sea clear rate shoulder whose father point policy letter ahead.
44,48,2024-10-31,Medium,10,Medium,Place energy significant certainly now case heart enter chance need.
45,77,2024-05-09,High,2,Medium,Cold movie assume year life down well yes leave manage wide.
46,147,2025-01-29,Medium,2,Low,Item reality tend street should ahead center peace whole.
47,115,2024-12-23,Medium,3,Low,Peace natural final despite quite natural hot affect various teach.
48,171,2024-10-08,Low,8,High,Here care certain mouth state water enjoy civil leader.
49,194,2024-08-29,Low,9,Low,Point wide rich too my concern.
50,84,2024-11-28,Low,4,Low,Exactly off learn particularly try politics difference win game win spring notice ask name.
51,99,2024-10-02,High,5,Low,Why yeah eat but wrong could body degree maybe partner country.
52,7,2025-04-07,Medium,4,Medium,Assume generation career very else discuss reflect about.
53,52,2024-05-21,High,7,Low,Technology security environment during health protect second total edge customer.
54,195,2025-03-05,Low,5,High,Close sign opportunity effort second church management detail.
55,161,2024-10-27,High,4,Medium,Like front site performance hospital without.
56,84,2025-01-28,Medium,4,Medium,Grow world bad indicate fund travel man policy office two conference security rock.
57,1,2025-02-09,High,9,Low,Help this year reflect speak far.
